product_sk,product_code,product_name,department,category,supplier_sk,list_price,uom
1,PRD-APL,Gala Apples 1kg,Grocery,Produce,1,2.49,kg
2,PRD-MLK,Organic Milk 1L,Grocery,Dairy,1,3.19,l
3,PRD-BRD,Whole Wheat Bread,Grocery,Bakery,1,2.99,ea
4,PRD-SHD,Shampoo 250ml,Health & Beauty,Personal Care,4,5.49,ea
5,PRD-TV,42in 4K TV,Electronics,TV & Home Theater,3,299.0,ea
6,PRD-TAB,10in Tablet 64GB,Electronics,Computers & Tablets,3,179.0,ea
7,PRD-TOY,Building Blocks Set,Toys,Blocks,4,24.99,ea
8,PRD-CFE,Ground Coffee 500g,Grocery,Beverages,1,7.49,ea
9,PRD-DTR,Detergent 1.5L,Home,Cleaning,4,8.99,ea
10,PRD-PS5,Gaming Console,Electronics,Gaming,3,449.0,ea
